name,constituency,party,youtube_channel_id,youtube_username,youtube_channel_name,youtube_subscribers,youtube_views,youtube_videos,facebook_page_id,facebook_page_name,facebook_username,youtube_channel_url,youtube_description,youtube_published_at,youtube_country,youtube_thumbnail,youtube_uploads_playlist_id,youtube_hidden_subscribers,youtube_last_updated,youtube_match_confidence,youtube_official
Siddaramaiah,Varuna,INC,UCRlEnvC-vZypIh_B9LYewGA,@siddaramaiah_official,Siddaramaiah,2080,138709,375,,,,https://www.youtube.com/@siddaramaiah_official,"ಕನ್ನಡಿಗ | Believer in equity & social justice | Family man | Chief Minister of Karnataka (2023 - ,2013 - 2018)
",2020-07-01T13:20:37.095789Z,IN,https://yt3.ggpht.com/ytc/AIdro_nJPyFvqeBNqOLbpCqm3tLGPMDFvUHExteoyP2Wpkwmvg=s800-c-k-c0x00ffffff-no-rj,UURlEnvC-vZypIh_B9LYewGA,False,2026-08-11T22:29:35.952148,High,Possible
D. K. Shivakumar,Kanakapura,INC,UCiF6LV007Hk9fkmZb1M-tNA,@dkshivakumarofficial,DK Shivakumar,8890,5338916,1231,,,,https://www.youtube.com/@dkshivakumarofficial,"ಕನ್ನಡಿಗ | Chief Minister, Karnataka | Congressman
",2021-06-04T06:02:24.069652Z,IN,https://yt3.ggpht.com/hYgufCPdvfqmbixLAYQRHwHqSP5ylTQu0ZDGArn76u_XutTxMGDvZdulylRhPr9RHGeXuhSuQg=s800-c-k-c0x00ffffff-no-rj,UUiF6LV007Hk9fkmZb1M-tNA,False,2026-08-11T22:29:37.037168,High,Possible
Priyank Kharge,Chittapur,INC,UCouTv4Fda2dtVKQVumkSLzA,@priyankkhargeofficial,Priyank M Kharge,700,30706,41,,,,https://www.youtube.com/@priyankkhargeofficial,"Minister of Electronics, Information Technology & Biotechnology and Rural Development & Panchayat Raj | Member of Legislative Assembly, Chittapur, Karnataka",2024-12-02T08:06:20.969449Z,,https://yt3.ggpht.com/PUWxtl3C1aUE_RL9x43alU1iaTzDeJj30njqYA3D5IJ01OzRe3Nay3MnooFyOOUcq7qXmP_F=s800-c-k-c0x00ffffff-no-rj,UUouTv4Fda2dtVKQVumkSLzA,False,2026-08-11T22:29:38.100024,High,Possible
G. Parameshwara,Koratagere,INC,UC8Rx3v9OMfl_0tqE-ceUVYg,@gparameshwra,G Parameshwara ,8,229,16,,,,https://www.youtube.com/@gparameshwra,"Former deputy chief minister of Karnataka| president KPCC 2010-2018| 6 times MLA 
#homeminister #cabinetminister #karnataka #gök #2023",2023-06-04T05:15:02.750873Z,,https://yt3.ggpht.com/dAlbNl3RgNu_oc6K9pLMbdur3wzc40ZQl2NBjUADlpZWlqaeCf7jRSX7CbAF7s6aedqWt7CckA=s800-c-k-c0x00ffffff-no-rj,UU8Rx3v9OMfl_0tqE-ceUVYg,False,2026-08-11T22:29:39.171655,High,Possible
M. B. Patil,Babaleshwar,INC,UCrDhun9yW_iBOLjDWjouUgg,@mbpatilvideos,M B Patil,3710,691472,389,,,,https://www.youtube.com/@mbpatilvideos,"Minister for Commerce & Industries, Infrastructure GoK |  Educationist-Engineer-Basava Literature Enthusiast",2018-02-09T07:02:38Z,IN,https://yt3.ggpht.com/DjhnWc0X50Qu0fDb60rOZkHepCMKxc-L9y0n8o5GwIZgEcVxjACXg2ynK6NKD7eAlN2bOI3Cww=s800-c-k-c0x00ffffff-no-rj,UUrDhun9yW_iBOLjDWjouUgg,False,2026-08-11T22:29:40.260577,High,Possible
R. Ashoka,Padmanabhanagar,BJP,UCW-Jablp8dkfK_3-EXlYzlQ,@r.ashoka,R Ashoka,273,48660,362,,,,https://www.youtube.com/@r.ashoka,"Official YouTube channel of Shri.R Ashoka, Leader of Opposition - Karnataka Legislative Assembly, Former Deputy Chief Minister of Karnataka, MLA - Padmanabhanagar.",2024-11-04T13:20:33.192617Z,IN,https://yt3.ggpht.com/YB77zO0j_jqdFf0ag23hkE948AU9T17iMKjJpYloShbBGv2zdpbqUNS2eq_sQ7_5EcbYgjUz=s800-c-k-c0x00ffffff-no-rj,UUW-Jablp8dkfK_3-EXlYzlQ,False,2026-08-11T22:29:41.422285,High,Possible
B. Y. Vijayendra,Shikaripura,BJP,UCb25jMunFYA7rt9TMuj8ldw,@officeofbyv,Office of B.Y. Vijayendra ,563,267699,302,,,,https://www.youtube.com/@officeofbyv,"State President, Bharatiya Janata Party - Karnataka",2024-08-21T09:52:06.158874Z,,https://yt3.ggpht.com/5pLCgeXhy3sagwPOtFwxcp-z5LSUc12k4yUNQb9hASOUGilXO3BfY1fbA7o6WiefrKoovkYi7g=s800-c-k-c0x00ffffff-no-rj,UUb25jMunFYA7rt9TMuj8ldw,False,2026-08-11T22:29:42.516344,High,Possible
Basanagouda Patil Yatnal,Vijayapura City,BJP,UCfKkGiXQPdBUJfb6SLSW8cg,@basanagoudarpatilyathnal,Basanagouda R Patil Yatnal,2820,9700,10,,,,https://www.youtube.com/@basanagoudarpatilyathnal,Basangouda Patil Yatnal,2023-09-19T10:16:46.135092Z,,https://yt3.ggpht.com/nYC1pljMh4WPCjWUe5LXYTUhe2CnwUx_FUWzG6ryy_tzbLQfJ2nA05cwuUvlyMUII5mqPL9y=s800-c-k-c0x00ffffff-no-rj,UUfKkGiXQPdBUJfb6SLSW8cg,False,2026-08-11T22:29:43.580604,High,Possible
U. T. Khader,Mangalore,INC,UCcm8KIZIdQadGtRSrXf8Dzw,@speakerutkhader, Health Minister U T Khader Official,64,13110,24,,,,https://www.youtube.com/@speakerutkhader,,2024-12-30T07:46:02.557384Z,,https://yt3.ggpht.com/UczameVvbCbgSB4xQh7H-EHYWKobyjwyqHBoQVca11mc7dehwHVP2DMRs7RDxnrX9H1Es31YD5g=s800-c-k-c0x00ffffff-no-rj,UUcm8KIZIdQadGtRSrXf8Dzw,False,2026-08-11T22:29:44.629032,High,Possible
V. Sunil Kumar,Karkal,BJP,UCIwDbH-0ZEjQ2lZaeA9aQjQ,@sunilkumarkarkala7790,Sunil Kumar karkala,761,82083,86,,,,https://www.youtube.com/@sunilkumarkarkala7790,"MLA, Karkala Assembly Constituency 

http://vsunilkumar.in/ 
#karkala #bjpkarnataka #devlopment #manglore #udupi #assembly #bangalore #politicalnews #politics #kannadanews #kannada #trending #tulunadu #tulu #karnataka #karnatakanews #mla #minister  #karnatakaassembly #viralvideo #viral #bjpmla #news #karavali #karavalipeople #karavalikarnataka #speech ",2013-03-06T12:00:50Z,,https://yt3.ggpht.com/ytc/AIdro_lDuOy2_xOvCnNoRVW4S_6sc_pA3SQePsBHfvS2AGYtaJU=s800-c-k-c0x00ffffff-no-rj,UUIwDbH-0ZEjQ2lZaeA9aQjQ,False,2026-08-11T22:29:45.689475,High,Possible
