text,author,published_at,like_count,video_id,video_title,label,score,positive_score,negative_score,neutral_score
🔥🔥,@prakashbambiga3243,2026-07-21T13:47:08Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Negative,-0.5859,0.0,1.0,0.0
ದೇಶ ವಿರೋಧಿ ಶಕ್ತಿಗಳ ವಿರುದ್ಧ ನಮ್ಮ ಶ್ರೀ ವಿಜಯೇಂದ್ರ ಅಣ್ಣ ಎಂದಿಗೂ ಅವರ ವಿರೋದ್ದ ನಮ್ಮ ಹೋರಾಟ ಮುಂದುವರಿಯುತ್ತದೆ💥🙏🙏🦁🦁🦁🦁🦁,@MaheshMahesh-fj3we,2026-07-21T14:13:02Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Negative,-0.3612,0.0,0.082,0.918
ಜೈ ವಿಜೇಯೇಂದ್ರ ಅಣ್ಣ,@KRISHNANATEKAR-in6gs,2026-07-21T13:41:23Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
Jai BYV ji,@Chandru_Mundragi,2026-07-21T16:22:23Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
ಜೈ ವಿಜಯೇಂದ್ರ ಅಣ್ಣ 🎉,@basavarajsahara347,2026-07-22T02:06:42Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Positive,0.4019,0.403,0.0,0.597
Jai bvy,@sangameshtenkale984,2026-07-22T08:42:53Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
ಜೈ ಬಿಜೆಪಿ full supported Vijendra anna,@chandrusb056,2026-07-22T03:40:10Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Positive,0.3182,0.315,0.0,0.685
ಪ್ರಜಾಸ್ವಾತಂತ್ರ ದೇಶದ ಹೆಮ್ಮೆ ದಯವಿಟ್ಟು ಇದನ್ನು ದೇಶ ಒಡೆಯುವರ ಸ್ವಾರ್ಥಕ್ಕಾಗಿ ನಿಮ್ಮ ಸ್ವತಂತ್ರ ಬಲಿ ಕೊಡಬೇಡಿ... ವಿಜಯೇಂದ್ರಣ್ಣ ನಮ್ಮ ರಾಜ್ಯದ ಯುವಜನತೆ ಸದಾ ನಿಮ್ಮೊಂದಿಗಿದೆ 🙏,@BaswarajYedlapure,2026-07-21T14:34:01Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
Jai byv ann,@GoviMsk,2026-07-21T16:45:49Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
ಅತ್ಯುತ್ತಮ ನಾಯಕ ವಿಜೇಂದ್ರ ಅಣ್ಣಾಜಿ ಮುಂದಿನ 2028 ಮುಖ್ಯಮಂತ್ರಿ,@SrirammurtiNayak,2026-07-22T07:49:13Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
JAI BYV ANNA 🦁,@amithpatilamith,2026-07-21T15:52:34Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
Jai vijendra anna ji,@AmarChambale,2026-07-21T14:32:01Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
I support vijendra annaji,@anand_ka_38,2026-07-21T14:03:29Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Positive,0.4019,0.474,0.0,0.526
Jai BJP Jai BYV,@kalleshudgire2619,2026-07-21T16:21:20Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
ರೈತ ಹೋರಾಟ ವಿಜಯೇಂದ್ರ ಅಣ್ಣ,@adanagoudapatil6671,2026-07-22T02:55:09Z,0,B8-xaYAisQA,ಪ್ರತಿಭಟನೆ ಹೆಸರಲ್ಲಿ ದೇಶವಿರೋಧಿಗಳ ಜೊತೆಗೂಡಿ ಅರಾಜಕತೆ ಸೃಷ್ಟಿಗೆ ಕಾಂಗ್ರೆಸ್ ಷಡ್ಯಂತ್ರ,Neutral,0.0,0.0,0.0,1.0
