name,constituency,party,state,x_username,x_user_id,youtube_channel_id,official_account_verified
Siddaramaiah,Varuna,INC,Karnataka,,, ,NO
D. K. Shivakumar,Kanakapura,INC,Karnataka,,, ,NO
Priyank Kharge,Chittapur,INC,Karnataka,,, ,NO
G. Parameshwara,Koratagere,INC,Karnataka,,, ,NO
M. B. Patil,Babaleshwar,INC,Karnataka,,, ,NO
R. Ashoka,Padmanabhanagar,BJP,Karnataka,,, ,NO
B. Y. Vijayendra,Shikaripura,BJP,Karnataka,,, ,NO
Basanagouda Patil Yatnal,Vijayapura City,BJP,Karnataka,,, ,NO
U. T. Khader,Mangalore,INC,Karnataka,,, ,NO
V. Sunil Kumar,Karkal,BJP,Karnataka,,, ,NO
