name,channel_id,channel_name,youtube_channel_name,youtube_username,youtube_subscribers,youtube_views,youtube_videos,posts_published,total_views,total_likes,total_engagement,avg_engagement_rate,followers_gained,comments_received,shares_reposts,top_post,top_post_views,top_post_likes,top_post_comments,top_post_url,sentiment_total_comments,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_positive_percentage,sentiment_negative_percentage,sentiment_neutral_percentage,sentiment_score,overall_sentiment,top_positive_comments,top_negative_comments,period_days,last_sync
Siddaramaiah,UCRlEnvC-vZypIh_B9LYewGA,Siddaramaiah,Siddaramaiah,@siddaramaiah_official,2080,138709,375,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:06.987981+00:00
D. K. Shivakumar,UCiF6LV007Hk9fkmZb1M-tNA,DK Shivakumar,DK Shivakumar,@dkshivakumarofficial,8890,5338916,1231,1,1270,19,19,1.5,0,0,,"When government and industry work with a shared purpose, transformation becomes possible. #csr",1270,19,0,https://www.youtube.com/watch?v=bkmwrWLFldw,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:08.354517+00:00
Priyank Kharge,UCouTv4Fda2dtVKQVumkSLzA,Priyank M Kharge,Priyank M Kharge,@priyankkhargeofficial,700,30706,41,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:09.443077+00:00
G. Parameshwara,UC8Rx3v9OMfl_0tqE-ceUVYg,G Parameshwara ,G Parameshwara ,@gparameshwra,8,229,16,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:10.533284+00:00
M. B. Patil,UCrDhun9yW_iBOLjDWjouUgg,M B Patil,M B Patil,@mbpatilvideos,3710,691472,389,1,25,1,1,4.0,0,0,,"ತಿಕೋಟಾದ ರೈತ ಕುಟುಂಬವೊಂದು ವಿಜಯಪುರದಲ್ಲಿ ನಿರ್ಮಿಸಿದ ತಮ್ಮ ಮನೆಗೆ ""ಎಂ.ಬಿ. ಪಾಟೀಲ ನಿಲಯ"" ಎಂದು ನಾಮಕರಣ ಮಾಡಿದೆ",25,1,0,https://www.youtube.com/watch?v=-nrg0kChVLU,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:12.387514+00:00
R. Ashoka,UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,R Ashoka,@r.ashoka,273,48660,362,16,573,14,14,2.44,0,0,,ಬಿಡದಿ ಪಾದಯಾತ್ರೆಯ ಭಾಷಣ,358,2,0,https://www.youtube.com/watch?v=Azdf1CDYlsw,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:17.346350+00:00
B. Y. Vijayendra,UCb25jMunFYA7rt9TMuj8ldw,Office of B.Y. Vijayendra ,Office of B.Y. Vijayendra ,@officeofbyv,563,267701,302,6,1603,61,76,4.74,0,15,,ರಾಷ್ಟ್ರಧ್ವಜವನ್ನು ಎತ್ತಿ ಹಿಡಿಯೋಣವಿಕಸಿತ ಭಾರತದೆಡೆಗೆಒಂದಾಗಿ ಮುನ್ನಡೆಯೋಣ,1373,24,0,https://www.youtube.com/watch?v=AT14VPxW6l8,15,3,2,10,20.0,13.33,66.67,0.0117,Neutral,"[{""text"": ""ಜೈ ವಿಜಯೇಂದ್ರ ಅಣ್ಣ 🎉"", ""score"": 0.4019}, {""text"": ""I support vijendra annaji"", ""score"": 0.4019}, {""text"": ""ಜೈ ಬಿಜೆಪಿ full supported Vijendra anna"", ""score"": 0.3182}]","[{""text"": ""🔥🔥"", ""score"": -0.5859}, {""text"": ""ದೇಶ ವಿರೋಧಿ ಶಕ್ತಿಗಳ ವಿರುದ್ಧ ನಮ್ಮ ಶ್ರೀ ವಿಜಯೇಂದ್ರ ಅಣ್ಣ ಎಂದಿಗೂ ಅವರ ವಿರೋದ್ದ ನಮ್ಮ ಹೋರಾಟ ಮುಂದುವರಿಯುತ್ತದೆ💥🙏🙏🦁🦁🦁🦁🦁"", ""score"": -0.3612}]",30,2026-08-11T17:08:19.636635+00:00
Basanagouda Patil Yatnal,UCfKkGiXQPdBUJfb6SLSW8cg,Basanagouda R Patil Yatnal,Basanagouda R Patil Yatnal,@basanagoudarpatilyathnal,2820,9700,10,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:20.534956+00:00
U. T. Khader,UCcm8KIZIdQadGtRSrXf8Dzw, Health Minister U T Khader Official, Health Minister U T Khader Official,@speakerutkhader,64,13110,24,1,139,1,1,0.72,0,0,,ಆಹಾರ ಸುರಕ್ಷತೆಯಲ್ಲಿ ಹೊಸ ಕ್ರಮಗಳು! ಸಚಿವ ಯು.ಟಿ. ಖಾದರ್ ಮಹತ್ವದ ಮಾಹಿತಿ,139,1,0,https://www.youtube.com/watch?v=hz5iYseleVI,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:21.784233+00:00
V. Sunil Kumar,UCIwDbH-0ZEjQ2lZaeA9aQjQ,Sunil Kumar karkala,Sunil Kumar karkala,@sunilkumarkarkala7790,761,82083,86,2,13,1,1,7.69,0,0,,ರೆಂಜಾಳ ಹೆಡ್ಮೆ ಪ್ರದೇಶದಲ್ಲಿ ನಡೆದ ಭೂಕುಸಿತ ಸ್ಥಳಕ್ಕೆ ಉಸ್ತುವಾರಿ ಸಚಿವರು ಹಾಗೂ ಅಧಿಕಾರಿಗಳೊಂದಿಗೆ ಭೇಟಿ,10,0,0,https://www.youtube.com/watch?v=MuOktTx3L9E,0,0,0,0,0,0,0,0,Neutral,[],[],30,2026-08-11T17:08:23.274220+00:00
