channel_id,channel_name,video_id,title,published_at,views,likes,comments,engagement,engagement_rate,comments_analyzed,url
UCiF6LV007Hk9fkmZb1M-tNA,DK Shivakumar,bkmwrWLFldw,"When government and industry work with a shared purpose, transformation becomes possible. #csr",2026-07-24T12:45:03Z,1270,19,0,19,1.5,0,https://www.youtube.com/watch?v=bkmwrWLFldw
UCrDhun9yW_iBOLjDWjouUgg,M B Patil,-nrg0kChVLU,"ತಿಕೋಟಾದ ರೈತ ಕುಟುಂಬವೊಂದು ವಿಜಯಪುರದಲ್ಲಿ ನಿರ್ಮಿಸಿದ ತಮ್ಮ ಮನೆಗೆ ""ಎಂ.ಬಿ. ಪಾಟೀಲ ನಿಲಯ"" ಎಂದು ನಾಮಕರಣ ಮಾಡಿದೆ",2026-07-23T07:02:14Z,25,1,0,1,4.0,0,https://www.youtube.com/watch?v=-nrg0kChVLU
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,g5ou4o4AfGs,Press Meet 11.08.2026,2026-08-11T08:40:46Z,31,4,0,4,12.9,0,https://www.youtube.com/watch?v=g5ou4o4AfGs
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,Azdf1CDYlsw,ಬಿಡದಿ ಪಾದಯಾತ್ರೆಯ ಭಾಷಣ,2026-08-10T12:28:07Z,358,2,0,2,0.56,0,https://www.youtube.com/watch?v=Azdf1CDYlsw
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,zE6E7130WYs,Media Byte 07.08.2026,2026-08-07T14:06:32Z,21,2,0,2,9.52,0,https://www.youtube.com/watch?v=zE6E7130WYs
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,pyrFdD_9VZM,Press Meet 04.08.2026,2026-08-04T09:00:58Z,26,1,0,1,3.85,0,https://www.youtube.com/watch?v=pyrFdD_9VZM
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,W2xJGfBEeMo,"ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರಕ್ಕೆ ಅಧಿಕಾರವೇ ಮುಖ್ಯ, ರೈತರ ಹಿತವಲ್ಲ!",2026-07-31T17:11:00Z,27,0,0,0,0.0,0,https://www.youtube.com/watch?v=W2xJGfBEeMo
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,pIT7HWcWUTI,Press Meet ,2026-07-27T11:44:12Z,28,1,0,1,3.57,0,https://www.youtube.com/watch?v=pIT7HWcWUTI
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,wfetqedxBTw,Press Meet 02,2026-07-24T03:00:23Z,14,1,0,1,7.14,0,https://www.youtube.com/watch?v=wfetqedxBTw
UCW-Jablp8dkfK_3-EXlYzlQ,R Ashoka,0QMRg0IbPDQ,Press Meet 01,2026-07-24T02:00:17Z,19,1,0,1,5.26,0,https://www.youtube.com/watch?v=0QMRg0IbPDQ
